Rynek pierwotny;;;;;;;;;;;;;;;;;;;;;;;Rynek pierwotny;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primary market;;;;;;;;;;;;;;;;;;;;;;;Primary market;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLN/1 sq.m;;;;;;;;;;;;;;;;;;;;;;;PLN/1 sq.m;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ceny ofertowe;;;;;;;;;;;;;;;;;średnia;;;;;Ceny transakcyjne;;;;;;;;;;;;;;;;;;średnia ;;;;;;;;;
;Offer prices;;;;;;;;;;;;;;;;;mean;;;;;Transaction prices;;;;;;;;;;;;;;;;;;mean;;;;;;;;;
;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;
Kwartał;Białystok;Bydgoszcz;Gdańsk;Gdynia;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;Kwartał;Białystok;Bydgoszcz;Gdańsk;Gdynia*;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;;;;;
II 2017;4 874;5 397;6 775;6 785;5 383;4 757;6 746;5 210;5 180;5 481;4 741;6 435;5 054;5 772;7 740;6 461;3 912;6 871;5 196;6 378;;;II 2017;4 687;4 945;6 501;6 732;5 095;4 545;6 583;4 953;4 940;4 997;4 657;6 260;4 894;5 236;7 683;6 314;3 861;6 687;4 891;6 131;;;;;;;
III 2017;5 096;6 028;7 329;7 259;5 439;4 780;6 931;5 134;5 147;5 450;4 761;6 479;4 990;5 845;7 788;6 390;3 922;6 953;5 342;6 486;;;III 2017;4 463;5 330;6 816;7 175;5 226;4 547;6 810;5 243;4 911;4 929;4 759;6 379;4 962;5 359;7 820;6 433;3 861;6 875;4 982;6 346;;;;;;;
IV 2017;5 066;6 041;7 371;7 955;5 479;4 762;6 924;5 209;5 332;5 600;4 758;6 551;4 992;5 617;8 020;6 526;3 937;7 121;5 348;6 622;;;IV 2017;4 587;5 177;6 829;6 902;5 266;4 689;6 755;5 093;5 148;5 593;4 794;6 382;4 842;5 468;7 751;6 389;3 873;6 829;5 031;6 313;;;;;;;
I 2018;5 095;6 196;8 054;7 855;5 377;4 869;6 918;5 284;5 524;5 709;5 021;6 676;4 952;5 660;8 201;6 745;3 931;7 307;5 397;6 809;;;I 2018;4 944;5 635;7 255;6 851;5 217;4 591;6 796;5 473;5 211;5 364;4 704;6 430;4 929;5 257;7 965;6 508;3 863;6 980;5 160;6 431;;;;;;;
II 2018;5 236;6 123;8 422;7 912;5 780;4 869;6 902;5 364;5 475;5 811;5 070;6 866;5 257;5 759;8 611;7 020;3 951;7 528;5 497;6 925;;;II 2018;5 052;5 403;7 543;7 080;5 464;4 798;6 778;5 479;5 206;5 240;4 994;6 735;5 170;5 513;8 183;6 651;3 899;7 128;5 234;6 540;;;;;;;
III 2018;5 401;6 227;8 293;7 641;5 845;4 852;7 040;5 676;5 529;5 794;5 199;6 931;5 233;5 941;8 888;7 145;4 102;7 641;5 646;6 946;;;III 2018;5 351;5 393;7 257;7 418;5 487;4 805;6 945;5 545;5 356;5 311;5 013;6 849;5 318;5 672;8 538;6 750;3 909;7 341;5 319;6 674;;;;;;;
IV 2018;5 569;6 427;8 603;9 342;6 274;5 112;7 356;5 860;5 663;5 946;5 264;7 033;5 210;6 054;9 020;7 230;4 306;7 862;5 834;7 203;;;IV 2018;5 385;5 429;7 915;7 803;5 846;4 967;7 199;5 785;5 507;5 612;5 312;7 017;5 227;5 880;8 565;6 905;3 994;7 525;5 503;6 937;;;;;;;
I 2019;5 640;6 309;8 267;9 206;6 418;5 101;7 623;5 866;5 796;6 083;5 322;7 351;5 549;6 244;9 427;7 457;4 512;8 097;5 918;7 344;;;I 2019;5 422;5 911;8 262;7 990;6 539;4 999;7 427;5 874;5 631;5 577;5 303;7 056;5 117;5 960;8 771;7 032;4 243;7 674;5 676;7 056;;;;;;;
II 2019;5 753;6 340;9 033;9 071;6 548;5 132;7 961;5 844;6 010;6 082;5 646;7 233;5 792;6 305;9 591;7 636;4 670;8 294;5 988;7 562;;;II 2019;5 620;5 930;8 288;8 181;6 275;5 020;7 738;5 852;5 853;5 677;5 222;7 087;5 523;6 495;8 932;7 435;4 496;7 864;5 790;7 267;;;;;;;
III 2019;5 916;6 415;9 474;9 186;6 717;5 284;8 017;5 933;6 027;6 191;5 698;7 391;5 799;6 606;9 935;7 909;4 727;8 514;6 123;7 713;;;III 2019;5 584;6 337;8 534;8 321;6 746;5 220;7 786;6 158;5 881;5 872;5 728;7 102;6 105;6 650;9 188;7 661;4 539;8 018;6 061;7 362;;;;;;;
IV 2019;5 961;6 512;9 806;9 175;7 002;5 476;8 530;5 911;6 274;6 350;6 086;7 394;5 880;6 574;10 280;7 976;4 819;8 779;6 195;7 942;;;IV 2019;5 688;6 190;8 585;8 027;6 880;5 295;8 235;5 977;6 026;6 108;5 487;7 396;5 761;6 752;9 476;7 634;4 688;8 221;6 054;7 522;;;;;;;
I 2020;6 220;6 592;9 904;9 243;7 313;5 494;9 209;5 965;6 608;6 380;6 098;7 541;5 909;6 642;10 610;8 483;5 111;9 150;6 338;8 331;;;I 2020;5 839;6 331;8 741;8 251;6 996;5 425;8 360;6 151;6 249;6 220;6 202;7 423;6 157;6 913;9 819;8 354;4 851;8 504;6 263;7 761;;;;;;;
II 2020;6 166;7 093;9 781;9 438;7 341;6 156;9 733;6 224;6 510;6 411;6 076;7 764;5 987;7 085;10 717;8 652;5 251;9 311;6 576;8 521;;;II 2020;5 811;6 354;8 806;7 974;6 829;5 573;8 625;5 978;6 080;6 289;6 082;7 431;5 845;6 732;9 438;8 041;4 886;8 395;6 165;7 808;;;;;;;
III 2020;6 229;7 125;9 621;9 571;7 662;6 145;9 467;6 651;6 734;6 429;6 109;7 922;6 048;7 786;10 735;8 670;5 388;9 324;6 802;8 533;;;III 2020;5 827;6 535;9 024;8 240;6 885;5 725;8 917;6 188;6 406;6 388;5 955;7 459;6 173;7 014;10 183;8 109;5 113;8 762;6 328;7 968;;;;;;;
